Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1, C10_4, C10_3, C10_2, C10, C11_4, C11_3, C11_2, C11, C12_4, C12_3, C12_2, C12, C13_4, C13_3, C13_2, C13, C14_4, C14_3, C14_2, C14, C15_4, C15_3, C15_2, C15, C16_4, C16_3, C16_2, C16, C17_4, C17_3, C17_2, C17, C18_7, C18_6, C18_5, C18_4, C18_3, C18_2, C18, C2_4, C2_3, C2_2, C2, C3_4, C3_3, C3_2, C3, C4_4, C4_3, C4_2, C4, C44_4, C44_3, C44_2, C44, C45_4, C45_3, C45_2, C45, C47_4, C47_3, C47_2, C47, C5_4, C5_3, C5_2, C5, C51_4, C51_3, C51_2, C51, C54_4, C54_3, C54_2, C54, C55_4, C55_3, C55_2, C55, C56_4, C56_3, C56_2, C56, C57_4, C57_3, C57_2, C57, C6_4, C6_3, C6_2, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7_4, C7_3, C7_2, C7, C70, C71, C72, C73, C8_4, C8_3, C8_2, C8, C9_4, C9_3, C9_2, C9",C0402,121,100n 10V,GRM155R71A104JA01D
"C19_7, C19_6, C19_5, C19_4, C19_3, C19_2, C19",C0402,7,470n 6V3,GRM155R60J474KE19D
"C20_7, C20_6, C20_5, C20_4, C20_3, C20_2, C20, C21_7, C21_6, C21_5, C21_4, C21_3, C21_2, C21",C0603,14,4u70 25V,GRM188R61E475KE11D
"C22_7, C22_6, C22_5, C22_4, C22_3, C22_2, C22, C23_7, C23_6, C23_5, C23_4, C23_3, C23_2, C23, C24_7, C24_6, C24_5, C24_4, C24_3, C24_2, C24, C25_7, C25_6, C25_5, C25_4, C25_3, C25_2, C25, C26_7, C26_6, C26_5, C26_4, C26_3, C26_2, C26",C0603,35,22u0 10V,GRM188R61A226ME15D
"C27_7, C27_6, C27_5, C27_4, C27_3, C27_2, C27",C0402,7,3n30 16V,GRM15XR71C332KA86D
"C28_7, C28_6, C28_5, C28_4, C28_3, C28_2, C28, C31_7, C31_6, C31_5, C31_4, C31_3, C31_2, C31, C32_7, C32_6, C32_5, C32_4, C32_3, C32_2, C32, C33_7, C33_6, C33_5, C33_4, C33_3, C33_2, C33, C36_4, C36_3, C36_2, C36, C37_4, C37_3, C37_2, C37, C48_4, C48_3, C48_2, C48, C49_4, C49_3, C49_2, C49, C50_4, C50_3, C50_2, C50",C0402,48,1u00 10V,C0402C105K8PACTU
"C29_7, C29_6, C29_5, C29_4, C29_3, C29_2, C29, C30_7, C30_6, C30_5, C30_4, C30_3, C30_2, C30, C34_4, C34_3, C34_2, C34, C35_4, C35_3, C35_2, C35",C0402,22,2u20 16V,GRM155R61C225KE44D
"C38_4, C38_3, C38_2, C38, C40_4, C40_3, C40_2, C40, C42_4, C42_3, C42_2, C42, C53_4, C53_3, C53_2, C53",C0402,16,22u0 6V3,CL05A226MQ5CUN
"C39_4, C39_3, C39_2, C39, C41_4, C41_3, C41_2, C41",C0402,8,10n0 16V,CL05B103JO5NNWC 
"C43_4, C43_3, C43_2, C43",C0402,4,4u70 6V3,MSASJ105BB5475MFNA01
